es,gn,notes
Lago viejo,Ypa tuja,sintagma nominal
Murciélago negro,Mbopi Hũ,animal+color
Habitación caro,Kotý hepy,sintagma nominal
Selva pequeño,Ka'aguasu michĩ,sintagma nominal
Manzana rápido,Yva pytã pya'e,sintagma nominal
Vaca pequeño,Vaka michĩ,sintagma nominal
Maíz bonito,Avati porã,sintagma nominal
Esposa,Tembireko,familia
Ajo,Ajo,alimento
Cama caro,Tupao hepy,sintagma nominal
Cerdo grande,Kure guasu,sintagma nominal
Vaca marrón,Vaka Hũ sa'yju,animal+color
Leche grande,Kamby guasu,sintagma nominal
Mesa lento,Atyha mbeguemi,sintagma nominal
Fuego,Tata,lugar/naturaleza
Viento,Yvytu,lugar/naturaleza
Loro verde,Tu'i Hovyũ,animal+color
Hijo,Ta'ýra,familia
Ajo rápido,Ajo pya'e,sintagma nominal
Casa,Óga,hogar
Armadillo naranja,Tatu Narã,animal+color
Sandía pequeño,Sandía michĩ,sintagma nominal
Pimienta feo,Kỹikĩ vai,sintagma nominal
Aceite grande,Aceite guasu,sintagma nominal
Pez grande,Pira guasu,sintagma nominal
Cabeza,Akã,cuerpo
Puerta,Okẽ,hogar
Lago nuevo,Ypa pyahu,sintagma nominal
Yacaré rápido,Jakare pya'e,sintagma nominal
Piña rápido,Karapepẽ pya'e,sintagma nominal
Pato grande,Pato guasu,sintagma nominal
Mesa,Atyha,hogar
Lechuza marrón,Mbopi'i Hũ sa'yju,animal+color
Plato pequeño,Atyha'i michĩ,sintagma nominal
Buho negro,Urukure'a Hũ,animal+color
Armadillo azul,Tatu Hovy,animal+color
Pollo grande,Ryguasu so'o guasu,sintagma nominal
Pájaro bonito,Guyra porã,sintagma nominal
Loro nuevo,Tu'i pyahu,sintagma nominal
Tenedor caro,Tenédor hepy,sintagma nominal
Arroz lento,Arro mbeguemi,sintagma nominal
Patio viejo,Kora tuja,sintagma nominal
Hospital feo,Pohãno renda vai,sintagma nominal
¿Cómo estás?,Mba'éichapa,saludo/estado
Plaza grande,Plása guasu,sintagma nominal
Abeja azul,Eíra Hovy,animal+color
Mariposa feo,Panambi vai,sintagma nominal
Nuestro (excl.) amigo,Ore Angirũ,posesivo+familia
Lechuza azul,Mbopi'i Hovy,animal+color
Aceite barato,Aceite hepy'ỹ,sintagma nominal
Hormiga rápido,Tapi'í pya'e,sintagma nominal
Leche nuevo,Kamby pyahu,sintagma nominal
Abeja verde,Eíra Hovyũ,animal+color
Mesa caro,Atyha hepy,sintagma nominal
Necesito árbol,Aikotevẽ Yvyra,frase: necesidad
Naranja,Narã,color
Piña pequeño,Karapepẽ michĩ,sintagma nominal
Ojo,Tesa,cuerpo
Perro verde,Jagua Hovyũ,animal+color
Gato pequeño,Mbarakaja michĩ,sintagma nominal
Azúcar pequeño,Azuka michĩ,sintagma nominal
Estudiante,Temimbo'e,escuela
Cocina lento,Kokina mbeguemi,sintagma nominal
Mandioca pequeño,Mandi'o michĩ,sintagma nominal
Hormiga lento,Tapi'í mbeguemi,sintagma nominal
Sapo marrón,Kururu Hũ sa'yju,animal+color
Lechuza barato,Mbopi'i hepy'ỹ,sintagma nominal
Tortuga azul,Karaí Hovy,animal+color
Sal bonito,Juky porã,sintagma nominal
Quiero papaya,Aipota Mamón,frase: deseo
Abeja rápido,Eíra pya'e,sintagma nominal
Buho naranja,Urukure'a Narã,animal+color
Cocina feo,Kokina vai,sintagma nominal
Pájaro violeta,Guyra Hovyũ pytã,animal+color
Viento caro,Yvytu hepy,sintagma nominal
Pan caro,Mbujapé hepy,sintagma nominal
Habitación,Kotý,hogar
Perro amarillo,Jagua Sa'yju,animal+color
Pierna,Tetyma,cuerpo
Queso grande,Kesú guasu,sintagma nominal
Agua lento,Y mbeguemi,sintagma nominal
Fruta pequeño,Yva michĩ,sintagma nominal
Luna barato,Jasy hepy'ỹ,sintagma nominal
Yerba mate nuevo,Ka'a pyahu,sintagma nominal
Quiero papa,Aipota Papa,frase: deseo
Saber,Kuaa,verbo
Buho blanco,Urukure'a Morotĩ,animal+color
Leche viejo,Kamby tuja,sintagma nominal
Abeja caro,Eíra hepy,sintagma nominal
Cama pequeño,Tupao michĩ,sintagma nominal
Harina bonito,Harina porã,sintagma nominal
Gallina rápido,Ryguasu pya'e,sintagma nominal
Cerdo feo,Kure vai,sintagma nominal
Pato verde,Pato Hovyũ,animal+color
Nuestro (excl.) tío,Ore Tío,posesivo+familia
Lechuza negro,Mbopi'i Hũ,animal+color
Huevo caro,Rupi'a hepy,sintagma nominal
Cuchillo rápido,Kuchillo pya'e,sintagma nominal
Silla pequeño,Guapyha michĩ,sintagma nominal
Naranja nuevo,Narã yva pyahu,sintagma nominal
Murciélago bonito,Mbopi porã,sintagma nominal
Fuego grande,Tata guasu,sintagma nominal
Fruta,Yva,alimento
Tierra,Yvy,lugar/naturaleza
Ventana bonito,Ovetã porã,sintagma nominal
Silla,Guapyha,hogar
Camino,Tape,lugar/naturaleza
Uno,Peteĩ,número
Necesito habitación,Aikotevẽ Kotý,frase: necesidad
Pez barato,Pira hepy'ỹ,sintagma nominal
Ventana lento,Ovetã mbeguemi,sintagma nominal
Gato caro,Mbarakaja hepy,sintagma nominal
Pez caro,Pira hepy,sintagma nominal
Tortuga,Karaí,animal
Viento nuevo,Yvytu pyahu,sintagma nominal
Vaso,Hy'áiha,hogar
Puerta rápido,Okẽ pya'e,sintagma nominal
Cocina pequeño,Kokina michĩ,sintagma nominal
Cerdo azul,Kure Hovy,animal+color
Sal caro,Juky hepy,sintagma nominal
Banana feo,Pakova vai,sintagma nominal
Café pequeño,Kafe michĩ,sintagma nominal
Campo caro,Okára hepy,sintagma nominal
Mi prima,Che Príma,posesivo+familia
Lago bonito,Ypa porã,sintagma nominal
Colibrí amarillo,Mainumby Sa'yju,animal+color
Colibrí feo,Mainumby vai,sintagma nominal
Zorrino violeta,Suru Hovyũ pytã,animal+color
Fruta grande,Yva guasu,sintagma nominal
Armadillo nuevo,Tatu pyahu,sintagma nominal
Uva rápido,Yva rykue pya'e,sintagma nominal
Tu abuelo,Nde Taitaguasu,posesivo+familia
Abeja negro,Eíra Hũ,animal+color
Perro barato,Jagua hepy'ỹ,sintagma nominal
Harina viejo,Harina tuja,sintagma nominal
Gallina naranja,Ryguasu Narã,animal+color
Gallina azul,Ryguasu Hovy,animal+color
Sandía rápido,Sandía pya'e,sintagma nominal
Lluvia,Ama,lugar/naturaleza
Huevo barato,Rupi'a hepy'ỹ,sintagma nominal
Vecino,Vecino,familia
Quiero manzana,Aipota Yva pytã,frase: deseo
Nuestro madre,Ñande Sy,posesivo+familia
Silla viejo,Guapyha tuja,sintagma nominal
Ventana,Ovetã,hogar
Silla rápido,Guapyha pya'e,sintagma nominal
Río feo,Ysyry vai,sintagma nominal
Camino viejo,Tape tuja,sintagma nominal
Caballo blanco,Kavaju Morotĩ,animal+color
Cerdo,Kure,animal
Pollo rápido,Ryguasu so'o pya'e,sintagma nominal
Árbol viejo,Yvyra tuja,sintagma nominal
Zorro grande,Aguara guasu,sintagma nominal
Buenas tardes,Ka'aru porã,saludo
Sandía grande,Sandía guasu,sintagma nominal
Papaya caro,Mamón hepy,sintagma nominal
Yacaré verde,Jakare Hovyũ,animal+color
Campo barato,Okára hepy'ỹ,sintagma nominal
Mi hijo,Che Ta'ýra,posesivo+familia
Necesito cuchara,Aikotevẽ Kucharã,frase: necesidad
Nuestro (excl.) tía,Ore Tía,posesivo+familia
Murciélago rápido,Mbopi pya'e,sintagma nominal
Buho bonito,Urukure'a porã,sintagma nominal
Plato lento,Atyha'i mbeguemi,sintagma nominal
Mariposa rápido,Panambi pya'e,sintagma nominal
Pájaro azul,Guyra Hovy,animal+color
Ajo feo,Ajo vai,sintagma nominal
Mariposa marrón,Panambi Hũ sa'yju,animal+color
Cebolla barato,Sevolla hepy'ỹ,sintagma nominal
Patio feo,Kora vai,sintagma nominal
Gracias,Aguyje,cortesía
Arroz feo,Arro vai,sintagma nominal
Armadillo violeta,Tatu Hovyũ pytã,animal+color
Tereré rápido,Tereré pya'e,sintagma nominal
Vaso lento,Hy'áiha mbeguemi,sintagma nominal
Necesito hospital,Aikotevẽ Pohãno renda,frase: necesidad
Necesito casa,Aikotevẽ Óga,frase: necesidad
Buho nuevo,Urukure'a pyahu,sintagma nominal
Nuestro (excl.) vecino,Ore Vecino,posesivo+familia
Papaya feo,Mamón vai,sintagma nominal
Caballo rosa,Kavaju Pytã asy,animal+color
Diez,Pa,número
Gato viejo,Mbarakaja tuja,sintagma nominal
Cocina caro,Kokina hepy,sintagma nominal
Uva viejo,Yva rykue tuja,sintagma nominal
Queso bonito,Kesú porã,sintagma nominal
Mono rápido,Karaí kavaju? pya'e,sintagma nominal
Plaza lento,Plása mbeguemi,sintagma nominal
Mercado bonito,Merkádo porã,sintagma nominal
Cuchara,Kucharã,hogar
Mono lento,Karaí kavaju? mbeguemi,sintagma nominal
Necesito viento,Aikotevẽ Yvytu,frase: necesidad
Yacaré azul,Jakare Hovy,animal+color
Mariposa barato,Panambi hepy'ỹ,sintagma nominal
Zorro violeta,Aguara Hovyũ pytã,animal+color
Pájaro rosa,Guyra Pytã asy,animal+color
Lechuga,Lechuga,verdura
Cerrar,Mboty,verbo
Tomate rápido,Tomáte pya'e,sintagma nominal
Ajo viejo,Ajo tuja,sintagma nominal
Pez violeta,Pira Hovyũ pytã,animal+color
Nuestro amigo,Ñande Angirũ,posesivo+familia
Camino lento,Tape mbeguemi,sintagma nominal
Pan pequeño,Mbujapé michĩ,sintagma nominal
Pato barato,Pato hepy'ỹ,sintagma nominal
Yerba mate pequeño,Ka'a michĩ,sintagma nominal
Pez pequeño,Pira michĩ,sintagma nominal
Patio bonito,Kora porã,sintagma nominal
Papaya viejo,Mamón tuja,sintagma nominal
Necesito vaso,Aikotevẽ Hy'áiha,frase: necesidad
Cama barato,Tupao hepy'ỹ,sintagma nominal
Necesito ciudad,Aikotevẽ Táva,frase: necesidad
Patio nuevo,Kora pyahu,sintagma nominal
Tortuga naranja,Karaí Narã,animal+color
Sopa feo,Sopa vai,sintagma nominal
Águila grande,Taguato guasu,sintagma nominal
Escuela rápido,Mbo'ehao pya'e,sintagma nominal
Cebolla nuevo,Sevolla pyahu,sintagma nominal
Murciélago nuevo,Mbopi pyahu,sintagma nominal
Zorrino marrón,Suru Hũ sa'yju,animal+color
Lago caro,Ypa hepy,sintagma nominal
Vaca lento,Vaka mbeguemi,sintagma nominal
Zorrino naranja,Suru Narã,animal+color
Lago,Ypa,lugar/naturaleza
Techo bonito,Apytere porã,sintagma nominal
Pan lento,Mbujapé mbeguemi,sintagma nominal
Selva grande,Ka'aguasu guasu,sintagma nominal
Necesito fuego,Aikotevẽ Tata,frase: necesidad
Ventana feo,Ovetã vai,sintagma nominal
Estómago,Tye,cuerpo
Árbol caro,Yvyra hepy,sintagma nominal
Nuestro tío,Ñande Tío,posesivo+familia
Casa feo,Óga vai,sintagma nominal
Pájaro rápido,Guyra pya'e,sintagma nominal
Buho rápido,Urukure'a pya'e,sintagma nominal
Techo nuevo,Apytere pyahu,sintagma nominal
Plaza pequeño,Plása michĩ,sintagma nominal
Mandioca grande,Mandi'o guasu,sintagma nominal
Yacaré rosa,Jakare Pytã asy,animal+color
Necesito iglesia,Aikotevẽ Tupao,frase: necesidad
Sandía viejo,Sandía tuja,sintagma nominal
Hormiga verde,Tapi'í Hovyũ,animal+color
Loro rápido,Tu'i pya'e,sintagma nominal
Yacaré pequeño,Jakare michĩ,sintagma nominal
Ciudad,Táva,lugar/naturaleza
Colibrí pequeño,Mainumby michĩ,sintagma nominal
Nuestro esposa,Ñande Tembireko,posesivo+familia
Techo grande,Apytere guasu,sintagma nominal
Mi abuelo,Che Taitaguasu,posesivo+familia
Zorrino blanco,Suru Morotĩ,animal+color
Estrella pequeño,Mbyja michĩ,sintagma nominal
Campo bonito,Okára porã,sintagma nominal
Yacaré violeta,Jakare Hovyũ pytã,animal+color
Ciudad pequeño,Táva michĩ,sintagma nominal
Loro lento,Tu'i mbeguemi,sintagma nominal
Arroz bonito,Arro porã,sintagma nominal
Quiero poroto,Aipota Kumanda,frase: deseo
Quiero zanahoria,Aipota Zanahoria,frase: deseo
Gato rojo,Mbarakaja Pytã,animal+color
Necesito lago,Aikotevẽ Ypa,frase: necesidad
Madre,Sy,familia
Cuchara nuevo,Kucharã pyahu,sintagma nominal
Ventana grande,Ovetã guasu,sintagma nominal
Zorrino caro,Suru hepy,sintagma nominal
Mango,Mango,fruta
Sol,Kuarahy,lugar/naturaleza
Buho violeta,Urukure'a Hovyũ pytã,animal+color
Gallina nuevo,Ryguasu pyahu,sintagma nominal
Camino rápido,Tape pya'e,sintagma nominal
Hormiga grande,Tapi'í guasu,sintagma nominal
Sapo pequeño,Kururu michĩ,sintagma nominal
Vaso rápido,Hy'áiha pya'e,sintagma nominal
Gato rápido,Mbarakaja pya'e,sintagma nominal
Examen,Porandu guasu,escuela
Iglesia barato,Tupao hepy'ỹ,sintagma nominal
Cerdo marrón,Kure Hũ sa'yju,animal+color
Papaya bonito,Mamón porã,sintagma nominal
Sopa rápido,Sopa pya'e,sintagma nominal
Piña,Karapepẽ,alimento
Patio lento,Kora mbeguemi,sintagma nominal
Armadillo grande,Tatu guasu,sintagma nominal
Lluvia caro,Ama hepy,sintagma nominal
Estrella barato,Mbyja hepy'ỹ,sintagma nominal
Perro negro,Jagua Hũ,animal+color
Plaza bonito,Plása porã,sintagma nominal
Ir,Ho,verbo
Necesito camino,Aikotevẽ Tape,frase: necesidad
Viento feo,Yvytu vai,sintagma nominal
Lechuza verde,Mbopi'i Hovyũ,animal+color
Armadillo negro,Tatu Hũ,animal+color
Necesito cama,Aikotevẽ Tupao,frase: necesidad
Lluvia grande,Ama guasu,sintagma nominal
Maíz barato,Avati hepy'ỹ,sintagma nominal
Quiero tereré,Aipota Tereré,frase: deseo
Yacaré rojo,Jakare Pytã,animal+color
Bienvenido,Tereguahẽ porã,bienvenida
Cuchillo feo,Kuchillo vai,sintagma nominal
Tortuga grande,Karaí guasu,sintagma nominal
Sal feo,Juky vai,sintagma nominal
Casa lento,Óga mbeguemi,sintagma nominal
Maíz feo,Avati vai,sintagma nominal
Necesito luna,Aikotevẽ Jasy,frase: necesidad
Quiero queso,Aipota Kesú,frase: deseo
Colibrí rápido,Mainumby pya'e,sintagma nominal
Necesito puerta,Aikotevẽ Okẽ,frase: necesidad
Colibrí azul,Mainumby Hovy,animal+color
Caballo feo,Kavaju vai,sintagma nominal
Águila,Taguato,animal
Zorro nuevo,Aguara pyahu,sintagma nominal
Pimienta caro,Kỹikĩ hepy,sintagma nominal
Mesa grande,Atyha guasu,sintagma nominal
Casa pequeño,Óga michĩ,sintagma nominal
Querer,Potá,verbo
Agua,Y,alimento
Yerba mate,Ka'a,alimento
Maíz caro,Avati hepy,sintagma nominal
Tortuga feo,Karaí vai,sintagma nominal
Dormir,Ke,verbo
Perro grande,Jagua guasu,sintagma nominal
Tu esposa,Nde Tembireko,posesivo+familia
Gato blanco,Mbarakaja Morotĩ,animal+color
Pez marrón,Pira Hũ sa'yju,animal+color
Puerta pequeño,Okẽ michĩ,sintagma nominal
Cama lento,Tupao mbeguemi,sintagma nominal
Piso viejo,Yvy tuja,sintagma nominal
Sapo,Kururu,animal
Caballo negro,Kavaju Hũ,animal+color
Buho feo,Urukure'a vai,sintagma nominal
